icon,datetime,temp,windspeed,preciptype,description
partly-cloudy-day,2015-08-01,28.2,15.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-02,27.3,22.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-03,27.9,24.8,--,Partly cloudy throughout the day.
rain,2015-08-04,29.3,22.6,rain,Partly cloudy throughout the day with late afternoon rain.
partly-cloudy-day,2015-08-05,28.6,21.6,--,Clearing in the afternoon.
rain,2015-08-06,26.2,21.4,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2015-08-07,24.4,22.8,rain,Cloudy skies throughout the day with early morning rain.
rain,2015-08-08,26.3,19.7,rain,Partly cloudy throughout the day with early morning rain.
partly-cloudy-day,2015-08-09,26.4,17.4,--,Partly cloudy throughout the day.
rain,2015-08-10,23.7,27.3,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2015-08-11,26.5,23.8,rain,Partly cloudy throughout the day with a chance of rain throughout the day.
partly-cloudy-day,2015-08-12,25.6,26.9,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2015-08-13,24.4,19.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-14,24.3,16.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-15,25.1,20,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-16,26.2,21.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-17,27.8,20.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-18,27,21.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-19,27.5,23.5,--,Partly cloudy throughout the day.
rain,2015-08-20,26.4,23.8,rain,Cloudy skies throughout the day with rain.
partly-cloudy-day,2015-08-21,25.3,27.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-22,24,16.4,--,Partly cloudy throughout the day.
rain,2015-08-23,23.7,16.4,rain,Partly cloudy throughout the day with early morning rain.
rain,2015-08-24,25.8,29.8,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2015-08-25,24.9,21.1,rain,Clearing in the afternoon with morning rain.
partly-cloudy-day,2015-08-26,22.8,21.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-27,22.5,20.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-28,23.2,19.3,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2015-08-29,25.2,21.7,--,Partly cloudy throughout the day.
rain,2015-08-30,25,20.8,rain,Partly cloudy throughout the day with afternoon rain.
partly-cloudy-day,2015-08-31,26.6,20,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-09-01,27.7,13,--,Becoming cloudy in the afternoon.
rain,2015-09-02,28.2,14.6,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2015-09-03,27.7,17.1,rain,Partly cloudy throughout the day with rain.
partly-cloudy-day,2015-09-04,27.8,17.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-09-05,25.7,22.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-09-06,24.5,14,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-09-07,26.1,17.4,--,Partly cloudy throughout the day.
rain,2015-09-08,27.5,19.6,rain,Becoming cloudy in the afternoon with afternoon rain.
partly-cloudy-day,2015-09-09,28.2,19.6,--,Partly cloudy throughout the day.
rain,2015-09-10,24.7,25,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2015-09-11,23.9,22.2,rain,Partly cloudy throughout the day with early morning rain.
rain,2015-09-12,21.8,19.7,rain,Partly cloudy throughout the day with rain in the morning and afternoon.
rain,2015-09-13,19.8,28.8,rain,Partly cloudy throughout the day with morning rain.
clear-day,2015-09-14,19.5,22.7,--,Clear conditions throughout the day.
partly-cloudy-day,2015-09-15,21.8,12.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-09-16,22.8,15.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-09-17,23.1,16.1,--,Partly cloudy throughout the day.
clear-day,2015-09-18,23.3,18.3,--,Clear conditions throughout the day.
partly-cloudy-day,2015-09-19,24,17.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-09-20,23,24.1,--,Partly cloudy throughout the day.
rain,2015-09-21,18.8,21.4,rain,Cloudy skies throughout the day with rain.
rain,2015-09-22,19.5,18.1,rain,Cloudy skies throughout the day with early morning rain.
partly-cloudy-day,2015-09-23,20.8,23.3,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2015-09-24,20.7,23.2,--,Partly cloudy throughout the day.
cloudy,2015-09-25,20,26.4,--,Cloudy skies throughout the day.
rain,2015-09-26,19.8,32.1,rain,Cloudy skies throughout the day with late afternoon rain.
rain,2015-09-27,19.9,21.9,rain,Cloudy skies throughout the day with early morning rain.
rain,2015-09-28,22.9,15.9,rain,Cloudy skies throughout the day with morning rain.
rain,2015-09-29,23.9,23.3,rain,Cloudy skies throughout the day with rain.
rain,2015-09-30,22.6,32.5,rain,Cloudy skies throughout the day with rain.
rain,2015-10-01,14.6,28,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2015-10-02,11.9,35.6,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2015-10-03,12.1,35.2,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2015-10-04,13.9,34.9,rain,Cloudy skies throughout the day with rain clearing later.
partly-cloudy-day,2015-10-05,15,21.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-10-06,16.8,14.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-10-07,18.8,19.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-10-08,18.8,12.2,--,Partly cloudy throughout the day.
rain,2015-10-09,20.3,29.4,rain,Partly cloudy throughout the day with rain.
rain,2015-10-10,15.7,26.9,rain,Partly cloudy throughout the day with early morning rain.
partly-cloudy-day,2015-10-11,14.2,14.1,--,Partly cloudy throughout the day.
clear-day,2015-10-12,16.3,19.8,--,Clear conditions throughout the day.
rain,2015-10-13,18.9,15.6,rain,Partly cloudy throughout the day with rain.
rain,2015-10-14,16.9,24.5,rain,Partly cloudy throughout the day with early morning rain.
partly-cloudy-day,2015-10-15,15.2,22.8,--,Clearing in the afternoon.
partly-cloudy-day,2015-10-16,14.7,28.1,--,Partly cloudy throughout the day.
rain,2015-10-17,11,29.3,rain,Partly cloudy throughout the day with afternoon rain.
partly-cloudy-day,2015-10-18,7.9,28.7,--,Becoming cloudy in the afternoon.
clear-day,2015-10-19,7.8,17.4,--,Clear conditions throughout the day.
partly-cloudy-day,2015-10-20,12,18,--,Partly cloudy throughout the day.
rain,2015-10-21,14.6,12.1,rain,Partly cloudy throughout the day with late afternoon rain.
partly-cloudy-day,2015-10-22,16.3,13.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-10-23,16.9,21.6,--,Clearing in the afternoon.
partly-cloudy-day,2015-10-24,12.4,17.2,--,Partly cloudy throughout the day.
rain,2015-10-25,15.8,27,rain,Partly cloudy throughout the day with rain in the morning and afternoon.
partly-cloudy-day,2015-10-26,11.8,21.3,--,Partly cloudy throughout the day.
cloudy,2015-10-27,11,21.4,--,Cloudy skies throughout the day.
rain,2015-10-28,17.9,31.3,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2015-10-29,18.6,23.4,rain,Partly cloudy throughout the day with early morning rain.
partly-cloudy-day,2015-10-30,12.2,31.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-10-31,10.9,15.6,--,Partly cloudy throughout the day.
rain,2015-11-01,14.5,21.4,rain,Partly cloudy throughout the day with morning rain.
rain,2015-11-02,14.7,7.5,rain,Partly cloudy throughout the day with morning rain.
clear-day,2015-11-03,14.1,7,--,Clear conditions throughout the day.
rain,2015-11-04,15.8,10.8,rain,Becoming cloudy in the afternoon with late afternoon rain.
rain,2015-11-05,16.9,12.5,rain,Partly cloudy throughout the day with early morning rain.
rain,2015-11-06,21,30.1,rain,Partly cloudy throughout the day with morning rain.
rain,2015-11-07,16,18.6,rain,Cloudy skies throughout the day with rain.
partly-cloudy-day,2015-11-08,10.9,20.2,--,Partly cloudy throughout the day.
rain,2015-11-09,8.8,21,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2015-11-10,13.5,28.5,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
partly-cloudy-day,2015-11-11,13.7,31,--,Partly cloudy throughout the day.
rain,2015-11-12,13.7,23.8,rain,Partly cloudy throughout the day with afternoon rain.
clear-day,2015-11-13,13.8,35,--,Clear conditions throughout the day.
partly-cloudy-day,2015-11-14,9.5,29.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-11-15,9.7,21.4,--,Partly cloudy throughout the day.
clear-day,2015-11-16,12.2,12.6,--,Clear conditions throughout the day.
partly-cloudy-day,2015-11-17,11.5,19.5,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-11-18,13.7,24,--,Partly cloudy throughout the day.
rain,2015-11-19,17.2,31,rain,Cloudy skies throughout the day with rain.
clear-day,2015-11-20,11.1,33.1,--,Clear conditions throughout the day.
partly-cloudy-day,2015-11-21,8.1,17.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-11-22,7.4,34.2,--,Partly cloudy throughout the day.
clear-day,2015-11-23,2.7,25.7,--,Clear conditions throughout the day.
partly-cloudy-day,2015-11-24,6.4,21.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-11-25,7.7,12.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-11-26,9.8,10.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-11-27,11,17.9,--,Partly cloudy throughout the day.
cloudy,2015-11-28,13.2,10.8,--,Cloudy skies throughout the day.
rain,2015-11-29,9.7,23.3,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2015-11-30,5.6,21.4,rain,Cloudy skies throughout the day with rain.
rain,2015-12-01,8.2,14.1,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2015-12-02,11.7,21.9,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2015-12-03,8.2,39.8,rain,Partly cloudy throughout the day with morning rain.
partly-cloudy-day,2015-12-04,6.6,16.8,--,Partly cloudy throughout the day.
clear-day,2015-12-05,6.2,8.9,--,Clear conditions throughout the day.
partly-cloudy-day,2015-12-06,5.2,15.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-12-07,8.5,14,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-12-08,7.5,13.8,--,Becoming cloudy in the afternoon.
rain,2015-12-09,6.4,14.6,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2015-12-10,10.1,8.7,rain,Becoming cloudy in the afternoon with rain.
partly-cloudy-day,2015-12-11,11.1,15.7,--,Partly cloudy throughout the day.
rain,2015-12-12,12.6,12.6,rain,Partly cloudy throughout the day with afternoon rain.
partly-cloudy-day,2015-12-13,14,14,--,Partly cloudy throughout the day.
rain,2015-12-14,16.2,31.1,rain,Cloudy skies throughout the day with rain.
rain,2015-12-15,15,35.5,rain,Clearing in the afternoon with early morning rain.
partly-cloudy-day,2015-12-16,9.5,15.2,--,Clearing in the afternoon.
rain,2015-12-17,10.2,11.2,rain,Cloudy skies throughout the day with rain in the morning and afternoon.
partly-cloudy-day,2015-12-18,6.8,40.7,--,Partly cloudy throughout the day.
clear-day,2015-12-19,2.9,34.4,--,Clear conditions throughout the day.
partly-cloudy-day,2015-12-20,3.8,14.2,--,Partly cloudy throughout the day.
cloudy,2015-12-21,9.4,28.3,--,Cloudy skies throughout the day.
rain,2015-12-22,13.2,19.4,rain,Cloudy skies throughout the day with morning rain.
rain,2015-12-23,15.9,16.8,rain,Cloudy skies throughout the day with rain.
rain,2015-12-24,18.9,31.4,rain,Cloudy skies throughout the day with rain clearing later.
rain,2015-12-25,17.8,16.4,rain,Cloudy skies throughout the day with rain.
rain,2015-12-26,13.3,29.8,rain,Cloudy skies throughout the day with rain.
rain,2015-12-27,15.5,30.9,rain,Cloudy skies throughout the day with late afternoon rain.
rain,2015-12-28,7.8,33.5,rain,Cloudy skies throughout the day with late afternoon rain.
rain,2015-12-29,9.2,19.3,rain,Cloudy skies throughout the day with rain clearing later.
rain,2015-12-30,10.6,16.1,rain,Cloudy skies throughout the day with rain.
cloudy,2015-12-31,10.7,26.3,--,Cloudy skies throughout the day.
partly-cloudy-day,2016-01-01,5.6,20,--,Partly cloudy throughout the day.
clear-day,2016-01-02,4.4,16.2,--,Clear conditions throughout the day.
partly-cloudy-day,2016-01-03,4.4,30.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-01-04,0.6,37.5,--,Partly cloudy throughout the day.
rain,2016-01-05,-4.4,37.6,snow,Clear conditions throughout the day with morning snow.
partly-cloudy-day,2016-01-06,-1,10.8,--,Partly cloudy throughout the day.
cloudy,2016-01-07,3.8,15.5,--,Cloudy skies throughout the day.
rain,2016-01-08,5.2,10.8,rain,Cloudy skies throughout the day with afternoon rain.
rain,2016-01-09,7.5,11.2,rain,Cloudy skies throughout the day with rain.
rain,2016-01-10,11.9,42.8,rain,Partly cloudy throughout the day with rain.
partly-cloudy-day,2016-01-11,0.9,29.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-01-12,2.5,34.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-01-13,-3.1,33.4,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2016-01-14,3.4,25.3,--,Clearing in the afternoon.
rain,2016-01-15,6,15.6,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2016-01-16,6.9,27.7,rain,Cloudy skies throughout the day with early morning rain.
rain,2016-01-17,2,15.6,"rain, snow",Partly cloudy throughout the day with afternoon rain or snow.
rain,2016-01-18,-5.2,39.8,snow,Partly cloudy throughout the day with early morning snow.
clear-day,2016-01-19,-6.4,37.3,--,Clear conditions throughout the day.
snow,2016-01-20,-4.2,23.4,snow,Partly cloudy throughout the day with late afternoon snow.
partly-cloudy-day,2016-01-21,-2.1,29.2,snow,Partly cloudy throughout the day.
snow,2016-01-22,-4.1,34.2,"rain, snow",Partly cloudy throughout the day with rain or snow.
snow,2016-01-23,-3.3,45.8,snow,Cloudy skies throughout the day with a chance of snow throughout the day.
snow,2016-01-24,-2.5,25.6,"rain, snow",Partly cloudy throughout the day with early morning snow or rain.
snow,2016-01-25,-2.2,10.2,"rain, snow",Partly cloudy throughout the day with rain or snow.
rain,2016-01-26,5.5,25,rain,Cloudy skies throughout the day with morning rain.
partly-cloudy-day,2016-01-27,4.6,25.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-01-28,0.4,16.7,--,Partly cloudy throughout the day.
rain,2016-01-29,2,40.8,rain,Partly cloudy throughout the day with afternoon rain.
partly-cloudy-day,2016-01-30,1.4,23.7,"rain, snow",Becoming cloudy in the afternoon.
partly-cloudy-day,2016-01-31,7.4,22.3,--,Partly cloudy throughout the day.
rain,2016-02-01,9.8,25.9,rain,Partly cloudy throughout the day with rain.
partly-cloudy-day,2016-02-02,6.4,18.1,--,Becoming cloudy in the afternoon.
rain,2016-02-03,8.8,19.8,rain,Cloudy skies throughout the day with rain.
rain,2016-02-04,9.9,31.1,rain,Cloudy skies throughout the day with rain clearing later.
snow,2016-02-05,3.7,37.3,rain,Clearing in the afternoon with early morning snow or rain.
partly-cloudy-day,2016-02-06,2.2,17.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-02-07,3.3,21.5,--,Partly cloudy throughout the day.
rain,2016-02-08,4.7,21.6,rain,Partly cloudy throughout the day with late afternoon rain.
snow,2016-02-09,2.6,25.5,rain,Cloudy skies throughout the day with a chance of rain or snow throughout the day.
partly-cloudy-day,2016-02-10,0,30.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-02-11,-3.9,32.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-02-12,-3.9,19.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-02-13,-5.7,43.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-02-14,-7.2,22.3,snow,Becoming cloudy in the afternoon.
snow,2016-02-15,-3.8,16.7,"rain, snow",Cloudy skies throughout the day with a chance of rain or snow throughout the day.
rain,2016-02-16,5.8,31.4,"rain, snow",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
partly-cloudy-day,2016-02-17,4.3,25.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-02-18,1.8,30.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-02-19,1,25.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-02-20,9.8,28.3,--,Partly cloudy throughout the day.
rain,2016-02-21,10.2,19.8,rain,Partly cloudy throughout the day with rain.
rain,2016-02-22,8.2,21.4,rain,Partly cloudy throughout the day with early morning rain.
rain,2016-02-23,6,23.5,rain,Cloudy skies throughout the day with rain.
rain,2016-02-24,10.8,33.1,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2016-02-25,9.1,38.1,rain,Partly cloudy throughout the day with rain.
rain,2016-02-26,2.6,39.1,rain,Clearing in the afternoon with a chance of rain throughout the day.
partly-cloudy-day,2016-02-27,2.8,21.9,--,Partly cloudy throughout the day.
clear-day,2016-02-28,9.1,28.6,--,Clear conditions throughout the day.
rain,2016-02-29,13.7,36.7,rain,Partly cloudy throughout the day with afternoon rain.
rain,2016-03-01,11.6,29.4,rain,Becoming cloudy in the afternoon with rain.
rain,2016-03-02,6.3,55.3,rain,Partly cloudy throughout the day with rain clearing later.
partly-cloudy-day,2016-03-03,1.4,23.2,--,Partly cloudy throughout the day.
snow,2016-03-04,2.6,30,"rain, snow",Cloudy skies throughout the day with rain or snow clearing later.
partly-cloudy-day,2016-03-05,3.8,22.7,--,Partly cloudy throughout the day.
cloudy,2016-03-06,5.7,14.6,--,Cloudy skies throughout the day.
partly-cloudy-day,2016-03-07,9.6,28.5,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2016-03-08,15.7,13.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-03-09,16.8,19.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-03-10,19.6,30.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-03-11,19.2,33.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-03-12,12.6,14.2,--,Partly cloudy throughout the day.
rain,2016-03-13,12.5,22.1,rain,Cloudy skies throughout the day with rain.
rain,2016-03-14,10.1,24.6,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2016-03-15,11.6,16,rain,Partly cloudy throughout the day with rain clearing later.
rain,2016-03-16,15.6,18.3,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2016-03-17,14.5,23.1,rain,Becoming cloudy in the afternoon with afternoon rain.
partly-cloudy-day,2016-03-18,14.6,34.3,--,Partly cloudy throughout the day.
rain,2016-03-19,6.9,26.5,rain,Partly cloudy throughout the day with rain.
rain,2016-03-20,4.4,21.4,rain,Cloudy skies throughout the day with late afternoon rain.
rain,2016-03-21,6.6,37.2,rain,Clearing in the afternoon with rain in the morning and afternoon.
partly-cloudy-day,2016-03-22,9.1,25.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-03-23,16.3,29.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-03-24,17.9,34.7,--,Partly cloudy throughout the day.
rain,2016-03-25,18.1,33.5,rain,Partly cloudy throughout the day with rain in the morning and afternoon.
partly-cloudy-day,2016-03-26,10.3,26.5,--,Becoming cloudy in the afternoon.
rain,2016-03-27,11.2,16.4,rain,Cloudy skies throughout the day with late afternoon rain.
rain,2016-03-28,13.3,45.9,rain,Clearing in the afternoon with a chance of rain throughout the day.
rain,2016-03-29,12,39.8,rain,Partly cloudy throughout the day with afternoon rain.
partly-cloudy-day,2016-03-30,10.7,29,--,Becoming cloudy in the afternoon.
rain,2016-03-31,17.7,40.3,rain,Partly cloudy throughout the day with afternoon rain.
rain,2016-04-01,22.2,34.5,rain,Partly cloudy throughout the day with rain in the morning and afternoon.
rain,2016-04-02,14.3,49.9,rain,Cloudy skies throughout the day with rain.
rain,2016-04-03,7.3,59.7,rain,Clearing in the afternoon with rain clearing later.
rain,2016-04-04,14.1,37.7,rain,Partly cloudy throughout the day with late afternoon rain.
partly-cloudy-day,2016-04-05,3.8,44.8,--,Partly cloudy throughout the day.
rain,2016-04-06,7.3,34.5,rain,Partly cloudy throughout the day with morning rain.
rain,2016-04-07,12.8,30.4,rain,Partly cloudy throughout the day with rain.
rain,2016-04-08,8.8,29.5,rain,Partly cloudy throughout the day with morning rain.
rain,2016-04-09,5.8,41.3,rain,Partly cloudy throughout the day with rain.
partly-cloudy-day,2016-04-10,5,27.3,--,Becoming cloudy in the afternoon.
rain,2016-04-11,14.7,39.6,rain,Partly cloudy throughout the day with morning rain.
rain,2016-04-12,16,32.8,rain,Partly cloudy throughout the day with rain clearing later.
clear-day,2016-04-13,10.1,21.6,--,Clear conditions throughout the day.
clear-day,2016-04-14,11.3,19.4,--,Clear conditions throughout the day.
clear-day,2016-04-15,12,12.6,--,Clear conditions throughout the day.
clear-day,2016-04-16,14.3,19.5,--,Clear conditions throughout the day.
clear-day,2016-04-17,15.1,19.1,--,Clear conditions throughout the day.
partly-cloudy-day,2016-04-18,19.9,22.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-04-19,20.7,34,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-04-20,16.1,25.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-04-21,16.4,25.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-04-22,20,21.9,--,Partly cloudy throughout the day.
rain,2016-04-23,17.8,27.9,rain,Partly cloudy throughout the day with rain in the morning and afternoon.
partly-cloudy-day,2016-04-24,14.1,22.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-04-25,17.6,17.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-04-26,24,35.8,--,Partly cloudy throughout the day.
rain,2016-04-27,14.7,29.7,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2016-04-28,11.6,22.8,rain,Cloudy skies throughout the day with rain.
rain,2016-04-29,10.5,17.2,rain,Cloudy skies throughout the day with rain.
rain,2016-04-30,12.2,14.2,rain,Cloudy skies throughout the day with late afternoon rain.
rain,2016-05-01,12.7,16,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2016-05-02,17,34.3,rain,Partly cloudy throughout the day with rain.
rain,2016-05-03,18.1,20,rain,Cloudy skies throughout the day with rain.
rain,2016-05-04,13.6,24,rain,Cloudy skies throughout the day with rain.
rain,2016-05-05,11.9,20.9,rain,Cloudy skies throughout the day with rain.
rain,2016-05-06,11.8,23,rain,Cloudy skies throughout the day with rain.
rain,2016-05-07,13.8,15.6,rain,Partly cloudy throughout the day with rain clearing later.
rain,2016-05-08,17.2,32.7,rain,Partly cloudy throughout the day with a chance of rain throughout the day.
rain,2016-05-09,14.1,19.9,rain,Partly cloudy throughout the day with rain in the morning and afternoon.
rain,2016-05-10,15.6,17.6,rain,Cloudy skies throughout the day with morning rain.
rain,2016-05-11,13.7,17.5,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
cloudy,2016-05-12,16.3,14.3,--,Cloudy skies throughout the day.
rain,2016-05-13,19.6,25.3,rain,Partly cloudy throughout the day with rain in the morning and afternoon.
rain,2016-05-14,16.8,37.2,rain,Partly cloudy throughout the day with rain.
rain,2016-05-15,12.6,38.8,rain,Partly cloudy throughout the day with rain in the morning and afternoon.
partly-cloudy-day,2016-05-16,13.2,27,--,Clearing in the afternoon.
rain,2016-05-17,13.2,15.4,rain,Cloudy skies throughout the day with rain.
cloudy,2016-05-18,15.1,20,--,Cloudy skies throughout the day.
rain,2016-05-19,16.6,15.7,rain,Partly cloudy throughout the day with morning rain.
rain,2016-05-20,18.3,17.4,rain,Partly cloudy throughout the day with morning rain.
rain,2016-05-21,14.5,26.2,rain,Cloudy skies throughout the day with rain.
rain,2016-05-22,13.2,21.1,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2016-05-23,17,22.9,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2016-05-24,21.6,27.3,rain,Partly cloudy throughout the day with rain clearing later.
partly-cloudy-day,2016-05-25,22.8,14.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-05-26,23.5,20,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-05-27,25.5,21.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-05-28,25.4,20.1,--,Partly cloudy throughout the day.
rain,2016-05-29,22.8,21,rain,Partly cloudy throughout the day with rain.
rain,2016-05-30,23,17.3,rain,Cloudy skies throughout the day with late afternoon rain.
partly-cloudy-day,2016-05-31,24.8,12.5,--,Partly cloudy throughout the day.
rain,2016-06-01,25.2,28.2,rain,Partly cloudy throughout the day with afternoon rain.
partly-cloudy-day,2016-06-02,23.1,14.6,--,Partly cloudy throughout the day.
rain,2016-06-03,23.5,12.8,rain,Cloudy skies throughout the day with rain.
cloudy,2016-06-04,24,21.2,--,Cloudy skies throughout the day.
rain,2016-06-05,24.3,28.6,rain,Cloudy skies throughout the day with rain.
rain,2016-06-06,25.1,20.2,rain,Partly cloudy throughout the day with rain clearing later.
partly-cloudy-day,2016-06-07,25,38.3,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2016-06-08,20.2,37.6,--,Partly cloudy throughout the day.
rain,2016-06-09,21,25.8,rain,Partly cloudy throughout the day with morning rain.
partly-cloudy-day,2016-06-10,22.8,28.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-06-11,26.5,30.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-06-12,28.6,36.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-06-13,22.5,26.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-06-14,23.5,22.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-06-15,23,20,--,Partly cloudy throughout the day.
rain,2016-06-16,24.7,39.4,rain,Cloudy skies throughout the day with rain.
rain,2016-06-17,22.6,25.1,rain,Partly cloudy throughout the day with rain clearing later.
partly-cloudy-day,2016-06-18,23.7,23.2,--,Clearing in the afternoon.
partly-cloudy-day,2016-06-19,25.1,22.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-06-20,26.4,19.7,--,Becoming cloudy in the afternoon.
rain,2016-06-21,25.6,31.6,rain,Partly cloudy throughout the day with rain.
rain,2016-06-22,25.1,28.4,rain,Partly cloudy throughout the day with morning rain.
rain,2016-06-23,24,20,rain,Cloudy skies throughout the day with morning rain.
rain,2016-06-24,25,27.7,rain,Partly cloudy throughout the day with rain.
partly-cloudy-day,2016-06-25,24.9,17.3,--,Clearing in the afternoon.
partly-cloudy-day,2016-06-26,24.5,16.2,--,Partly cloudy throughout the day.
rain,2016-06-27,24.9,27,rain,Becoming cloudy in the afternoon with late afternoon rain.
rain,2016-06-28,25.1,17.8,rain,Partly cloudy throughout the day with rain.
partly-cloudy-day,2016-06-29,23.9,27,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-06-30,23.8,20,--,Partly cloudy throughout the day.
rain,2016-07-01,25.4,20.8,rain,Partly cloudy throughout the day with late afternoon rain.
partly-cloudy-day,2016-07-02,24,25.2,--,Becoming cloudy in the afternoon.
rain,2016-07-03,21,15.3,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2016-07-04,21.6,20.2,rain,Cloudy skies throughout the day with rain.
rain,2016-07-05,27.5,22.2,rain,Partly cloudy throughout the day with rain clearing later.
partly-cloudy-day,2016-07-06,29.1,11.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2016-07-07,29.4,20.2,--,Partly cloudy throughout the day.
rain,2016-07-08,28.4,35.9,rain,Becoming cloudy in the afternoon with afternoon rain.
