icon,datetime,temp,windspeed,preciptype,description
partly-cloudy-day,2018-06-14,26.7,29.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-06-15,24.7,27.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-06-16,24.5,16.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-06-17,27,12.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-06-18,28,23.5,--,Partly cloudy throughout the day.
rain,2018-06-19,28.2,30.8,rain,Partly cloudy throughout the day with rain.
rain,2018-06-20,25.6,17.2,rain,Partly cloudy throughout the day with rain.
cloudy,2018-06-21,25.6,17.8,--,Cloudy skies throughout the day.
rain,2018-06-22,21.9,21.5,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2018-06-23,22.7,15.8,rain,Partly cloudy throughout the day with rain.
rain,2018-06-24,25.7,17.7,rain,Partly cloudy throughout the day with a chance of rain throughout the day.
rain,2018-06-25,25,25.3,rain,Partly cloudy throughout the day with a chance of rain throughout the day.
partly-cloudy-day,2018-06-26,23.2,22,--,Partly cloudy throughout the day.
rain,2018-06-27,24.2,23.4,rain,Cloudy skies throughout the day with afternoon rain.
partly-cloudy-day,2018-06-28,27.3,21.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-06-29,28,16.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-06-30,27.9,19.2,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2018-07-01,28.6,19.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-07-02,30.3,19.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-07-03,31.2,22.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-07-04,29.9,18.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-07-05,29.5,19.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-07-06,28.3,19.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-07-07,24,29,--,Partly cloudy throughout the day.
clear-day,2018-07-08,23.6,20.1,--,Clear conditions throughout the day.
clear-day,2018-07-09,25,19.8,--,Clear conditions throughout the day.
partly-cloudy-day,2018-07-10,28.9,21.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-07-11,29.6,23.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-07-12,27,18.7,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2018-07-13,26.1,16.8,--,Partly cloudy throughout the day.
clear-day,2018-07-14,26.8,20.5,--,Clear conditions throughout the day.
partly-cloudy-day,2018-07-15,26.8,17.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-07-16,28.6,32.3,--,Partly cloudy throughout the day.
rain,2018-07-17,27.6,30.4,rain,Partly cloudy throughout the day with afternoon rain.
partly-cloudy-day,2018-07-18,26.4,23.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-07-19,26,21.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-07-20,25.5,19.7,--,Partly cloudy throughout the day.
rain,2018-07-21,22.1,35.5,rain,Cloudy skies throughout the day with rain.
rain,2018-07-22,22.3,23.5,rain,Partly cloudy throughout the day with rain.
rain,2018-07-23,26.3,30.6,rain,Cloudy skies throughout the day with rain.
rain,2018-07-24,25.4,21.7,rain,Cloudy skies throughout the day with rain.
rain,2018-07-25,25.2,19.8,rain,Cloudy skies throughout the day with late afternoon rain.
rain,2018-07-26,26.6,19.5,rain,Partly cloudy throughout the day with morning rain.
partly-cloudy-day,2018-07-27,26.5,22.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-07-28,26.5,19.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-07-29,25.4,15.6,--,Partly cloudy throughout the day.
rain,2018-07-30,23.5,24.6,rain,Partly cloudy throughout the day with rain.
rain,2018-07-31,24.7,14.1,rain,Cloudy skies throughout the day with rain.
rain,2018-08-01,27.2,30.5,rain,Partly cloudy throughout the day with early morning rain.
rain,2018-08-02,25.4,16.4,rain,Partly cloudy throughout the day with afternoon rain.
